T5 - 10Sep_Morning930_GT,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Space,Irrig,Scholand
10,28,2.79688,41.24418259,-7.114657402,-87.64,-572.51,-87.93,-571.65,153.4,24.55,22.2,1003.7,42.4,252,0.65,0.02,32,3,60,-11.50
10,28,3.10156,41.24418259,-7.114658833,-87.76,-572.52,-88.07,-571.69,153.4,24.55,22.2,1003.7,42.4,250,0.69,0.02,32,3,60,-11.50
10,28,3.29688,41.24418259,-7.11466074,-87.89,-572.53,-88.27,-571.7,153.4,24.55,22.2,1003.7,42.4,246,0.69,0.02,32,3,60,-11.50
10,28,3.60156,41.24418259,-7.114661694,-87.95,-572.53,-88.3,-571.67,153.4,24.55,22.2,1003.7,42.4,248,0.69,-0.06,32,3,60,-11.50
10,28,3.89844,41.24418259,-7.114663601,-88.14,-572.55,-88.48,-571.73,153.4,24.55,22.2,1003.7,42.4,248,0.57,-0.06,32,3,60,-11.50
10,28,4.10156,41.24418259,-7.114664555,-88.2,-572.55,-88.51,-571.76,153.4,25.78,22.2,1003.7,42.4,249,0.57,-0.06,32,3,60,-11.50
10,28,4.39844,41.24418259,-7.114665508,-88.32,-572.56,-88.67,-571.75,153.4,25.78,22.2,1003.7,42.4,247,0.57,-0.05,32,3,60,-11.50
10,28,4.70313,41.24418259,-7.114666939,-88.38,-572.57,-88.71,-571.73,153.4,25.78,22.2,1003.7,42.4,249,0.59,-0.05,32,3,60,-11.50
10,28,5,41.24418259,-7.114668846,-88.57,-572.59,-88.9,-571.75,153.4,25.78,22.2,1003.7,42.4,249,0.59,-0.05,32,3,60,-11.50
10,28,5.20313,41.24418259,-7.1146698,-88.63,-572.59,-89,-571.73,153.3,25.78,22.2,1003.7,42.4,247,0.59,-0.05,32,3,60,-11.50
10,28,5.39844,41.24418259,-7.1146698,-88.63,-572.59,-88.99,-571.72,153.3,25.78,22.2,1003.7,42.4,248,0.59,-0.05,32,3,60,-11.50
10,28,5.70313,41.24418259,-7.114671707,-88.82,-572.61,-89.18,-571.74,153.3,25.78,22.2,1003.7,42.4,248,0.59,-0.05,32,3,60,-11.50
10,28,6,41.24417496,-7.114674091,-89,-573.14,-89.35,-572.29,153.3,24.74,22.2,1003.7,42.4,248,0.59,0.09,32,3,60,-11.50
10,28,6.29688,41.24417496,-7.114675999,-89.13,-573.15,-89.49,-572.31,153.3,24.74,22.2,1003.7,42.4,247,0.77,0.09,32,3,60,-11.50
10,28,6.60156,41.24417496,-7.114677906,-89.31,-573.17,-89.69,-572.28,153.3,24.74,22.2,1003.7,42.4,247,0.77,0.09,32,3,60,-11.50
10,28,6.89844,41.24417496,-7.11467886,-89.38,-573.17,-89.64,-572.27,153.3,24.74,22.2,1003.7,42.4,254,0.77,-0.01,32,3,60,-11.50
10,28,7.20313,41.24417496,-7.114680767,-89.56,-573.37,-89.92,-572.5,153.2,24.74,22.2,1003.7,42.4,248,0.64,-0.01,32,3,60,-11.50
10,28,7.39844,41.24417496,-7.114682198,-89.69,-573.39,-90.05,-572.5,153.2,24.57,22.2,1003.7,42.4,248,0.64,-0.01,32,3,60,-11.50
10,28,7.70313,41.24417496,-7.114684105,-89.81,-573.06,-90.17,-572.22,153.2,24.57,22.2,1003.7,42.4,247,0.64,-0.01,32,3,60,-11.50
10,28,8,41.24417496,-7.114685059,-89.87,-573.07,-90.22,-572.26,153.2,24.57,22.2,1003.7,42.4,247,0.77,-0.01,32,3,60,-11.50
10,28,8.20313,41.24417496,-7.114686012,-90,-573.08,-90.38,-572.31,153.2,24.57,22.2,1003.7,42.4,244,0.77,-0.01,32,3,60,-11.50
10,28,8.5,41.24417496,-7.114686012,-90,-573.08,-90.27,-572.27,153.2,24.57,22.2,1003.7,42.4,252,0.77,-0.03,32,3,60,-11.50
10,28,8.79688,41.24417496,-7.11468792,-90.12,-573.09,-90.44,-572.27,153.1,24.57,22.2,1003.8,42.4,249,0.71,-0.03,32,3,60,-11.50
10,28,9,41.24417496,-7.114690304,-90.37,-573.11,-90.76,-572.37,153.1,25.4,22.2,1003.8,42.4,243,0.71,-0.03,32,3,60,-11.50
10,28,9.29688,41.24417496,-7.114691257,-90.43,-573.11,-90.67,-572.53,153.1,25.4,22.2,1003.8,42.4,248,0.71,-0.03,32,3,60,-11.50
10,28,9.60156,41.24417496,-7.114693165,-90.56,-573.12,-90.85,-572.49,153.1,25.4,22.2,1003.8,42.4,246,0.71,-0.03,32,3,60,-11.50
10,28,10,41.24417496,-7.114694118,-90.68,-573.13,-91.04,-572.22,153.1,25.4,22.2,1003.8,42.4,249,0.71,0.12,32,3,60,-11.50
10,28,10.3984,41.24416351,-7.114697456,-90.93,-574.76,-91.33,-573.87,153,25.4,22.2,1003.8,42.4,246,0.71,0.12,32,3,60,-11.50
10,28,10.7031,41.24416351,-7.11469841,-91.05,-574.77,-91.45,-573.84,153,25.4,22.2,1003.8,42.4,247,0.71,0.12,32,3,60,-11.50
